id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
MAGIA01_14051,"Un día a la vez","Un día a la vez es un libro ilustrado con 365 afirmaciones, las cuales te permitirán mejorar tu dialogo interno y convertirte en tu mejor aliado para vencer las creencias limitantes y atraer resultados positivos a tu vida. Envíos a todo el país.Este producto se envía desde: BogotáRecibe este producto en: 1 - 3 laborales",https://almadelascosas.com/wp-content/uploads/2022/03/15032021-Copia-de-IMG_8691-scaled-e1647885620862.jpg,https://almadelascosas.com/producto/un-dia-a-la-vez/,"Oficina, Papelería especial, Regalos, Regalos para una amistad","Alma de las Cosas",55000COP,in stock,MAGIA01_14051,,"https://almadelascosas.com/wp-content/uploads/2022/03/15032021-Copia-de-IMG_8711-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/15032021-Copia-de-IMG_8700-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/15032021-Copia-de-IMG_8575-scaled-e1647885667251.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55000COP,new,published,,,,,,,
FRESH NAIDI 10X10_14224,"Vela grande 500 gr Fresh Naidí","Regalar luz siempre será una buena idea, así como decorar y acompaña tus espacios y momentos de una cálida luz y una fragancia suave y dulce.  El azaí es un fruto amazónico el cual al mezclarse con las propiedades de las fragancias florales es perfecta para generar ambientes de relajación y tranquilidad. Velas hechas a base de ceras naturales de soya y coco. Envíos a todo el país.*Se entrega con: Caja, Porta vela y Postal.Tiempo de entrega: 1 a 3 días hábilesEste producto se envía desde: Bogotá",https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2021-08-09-a-las-18.40.01.png,https://almadelascosas.com/producto/vela-grande-500-gr-fresh-naidi/,"Bienestar y belleza, Velas, Hogar y decoración","Alma de las Cosas",85000COP,in stock,FRESH NAIDI 10X10_14224,,"https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-10.15.43-AM-1.jpeg,https://almadelascosas.com/wp-content/uploads/2022/03/4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,85000COP,new,published,,,,,,,
FRESH NAIDI 8X8_14225,"VELA FRESH NAIDÍ 200 GR.","Regalar luz siempre será una buena idea, así como decorar y acompaña tus espacios y momentos de una cálida luz y una fragancia suave y dulce.  El azaí es un fruto amazónico el cual al mezclarse con las propiedades de las fragancias florales es perfecta para generar ambientes de relajación y tranquilidad. Velas hechas a base de ceras naturales de soya y coco. Envíos a todo el país.*Se entrega con: Caja, Porta vela y Postal.Tiempo de entrega: de 1 a 3 días laboralesEste producto se envía desde: Bogotá.",https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-10.48.17.png,https://almadelascosas.com/producto/vela-fresh-naidi-200-gr/,"Bienestar y belleza, Velas, Hogar y decoración","Alma de las Cosas",50000COP,in stock,FRESH NAIDI 8X8_14225,,"https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-10.51.01.png,https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-10.49.38.png,https://almadelascosas.com/wp-content/uploads/2022/03/4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50000COP,new,published,,,,,,,
CITRIC TEA PARTY 8X8_14236,"VELA CITRIC TEA PARTY 200 GR","Vela con fragancias cítricas tienen propiedades revitalizantes y ayudan a neutralizar el estrés. Estamos seguros que esta combinación de Té verde y mandarina se quedará siempre grabada en tu memoria. Velas hechas a base de ceras naturales de soya y coco. Envíos a todo el país.*Se entrega con: Caja, Porta vela y Postal.Tiempo de entrega: 1 a 3 días laboralesEste producto se envía desde: Bogotá.",https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-12.33.03.png,https://almadelascosas.com/producto/vela-citric-tea-party-200-gr/,"Bienestar y belleza, Velas, Hogar y decoración","Alma de las Cosas",50000COP,in stock,CITRIC TEA PARTY 8X8_14236,,"https://almadelascosas.com/wp-content/uploads/2022/03/3.png,https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-12.07.36-PM.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50000COP,new,published,,,,,,,
SWEET BOMB 8X8_14234,"VELA SWEET BOMB 200 GR.","¡Que lindo es regalar luz! Para los amantes de lo dulce, esta combinación de cereza, limón y vainilla es el toque perfecto para llenar de notas dulces tus espacios y momentos.  Fragancias como la cereza y el limón ayudan a combatir el cansancio y potenciar la concentración, mientras que la vainilla posee cualidades relajantes. Velas hechas a base de ceras naturales de soya y coco. Envíos a todo el país.*Se entrega con: Caja, Porta vela y Postal.Tiempo de entrega: de 1 a 3 días hábilesEste producto se envía desde Bogotá.",https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-12.24.04.png,https://almadelascosas.com/producto/vela-sweet-bomb-200-gr/,"Bienestar y belleza, Velas, Hogar y decoración","Alma de las Cosas",50000COP,in stock,SWEET BOMB 8X8_14234,,"https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-12.07.36-PM.jpeg,https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-12.08.12-PM.jpeg,https://almadelascosas.com/wp-content/uploads/2022/03/1.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50000COP,new,published,,,,,,,
CITRIC TEA PARTY 10X10_14242,"Vela grande 500gr Citric Tea Party","¡Regala Luz! Esta mezcla de té verde y mandarina es perfecta para que tus espacios estén cargados de buena energía, ya que las fragancias cítricas tienen propiedades revitalizantes y ayudan a neutralizar el estrés. Velas hechas a base de ceras naturales de soya y coco. Envíos a todo el país.*Se entrega con: Caja, Porta vela y Postal.Tiempo de entrega: 2 a 3 días laboralesEste producto se envía desde: Bogotá",https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-10.15.43-AM-5.jpeg,https://almadelascosas.com/producto/vela-grande-500gr-citric-tea-party/,"Bienestar y belleza, Velas, Hogar y decoración","Alma de las Cosas",85000COP,in stock,CITRIC TEA PARTY 10X10_14242,,"https://almadelascosas.com/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-06-a-las-12.53.37.png,https://almadelascosas.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-03-06-at-1.01.22-PM.jpeg,https://almadelascosas.com/wp-content/uploads/2022/03/3.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,85000COP,new,published,,,,,,,
1152434812984_14618,"Agenda Diaria PAPELÍ - Blanca","Tu Agenda Diaria se convertirá en tu mejor herramienta de trabajo y compañera de vida, ayudándote no solo a ser más productiva, sino también más feliz. Envíos a todo el país.Este producto se envía desde: MedellínRecibe este producto en: 1 – 3 días laborales",https://almadelascosas.com/wp-content/uploads/2022/03/Agenda_Diaria-Blanca.jpg,https://almadelascosas.com/producto/agenda-diaria-papeli-blanca/,"Accesorios, Oficina, Papelería especial","Alma de las Cosas",74900COP,in stock,1152434812984_14618,,"https://almadelascosas.com/wp-content/uploads/2022/03/blanca.png,https://almadelascosas.com/wp-content/uploads/2022/03/Adhesivo-meses.png,https://almadelascosas.com/wp-content/uploads/2022/03/Adhesivo-meses-agenda-papeli.png,https://almadelascosas.com/wp-content/uploads/2022/03/MG_1011.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/MG_1019.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,74900COP,new,published,,,,,,,
E014_14593,"Jardin zen antiestres + Suculentas (Para sembrar)","Jardín zen interactivo, decorativo y anti estresante para sembrar ¿Ya sabes a quién regalárselo? Ideal para regalar a hombres o mujeres.¿Qué es un jardín Zen? Es una composición de elementos naturales situados armónicamente para promover la meditación y la calma. Se origina como escenario ideal para la meditación de los monjes budistas.Este producto se envía desde: Cajicá, Cundinamarca.Recibe este producto en: 2 – 5 días laborales",https://almadelascosas.com/wp-content/uploads/2022/03/E003-1c-scaled.jpg,https://almadelascosas.com/producto/jardin-zen-antiestres-suculentas-para-sembrar/,"Bienestar y belleza, Regalos, Regalos para un familiar, Regalos para una amistad","Alma de las Cosas",99900COP,in stock,E014_14593,,"https://almadelascosas.com/wp-content/uploads/2022/03/Jardin-Zen-antiestres-ads-feb.png,https://almadelascosas.com/wp-content/uploads/2022/03/E003-1d-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/20211026_172504-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99900COP,new,published,,,,,,,
E072_14601,"Kit planeación para 1 año 🌵","Organiza tus tareas diarias y semanales para lograr las metas y propósitos personales, de trabajo y estudio.¿Por qué usar un planeador semana?1. No olvidarás ninguna reunión o tarea programada.2. Visualizarás tus semanas para no recargar ningún día.3. Equilibrarás tus metas personales, laborales y de estudio.Este producto se envía desde: Cajicá, Cundinamarca.Recibe este producto en: 2 – 5 días laborales",https://almadelascosas.com/wp-content/uploads/2022/03/20220108_144413-scaled.jpg,https://almadelascosas.com/producto/kit-planeacion-para-1-ano-%f0%9f%8c%b5/,"Accesorios, Oficina, Inicio de Año, Papelería especial","Alma de las Cosas",29900COP,in stock,E072_14601,,"https://almadelascosas.com/wp-content/uploads/2022/03/E072.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/20220108_145242-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/20220108_145028-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/Esferos-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,29900COP,new,published,,,,,,,
1152434812977_14639,"Agenda Diaria PAPELÍ - Negra","Tu Agenda Diaria se convertirá en tu mejor herramienta de trabajo y compañera de vida, ayudándote no solo a ser más productiva, sino también más feliz. Envíos a todo el país.Este producto se envía desde: MedellínRecibe este producto en: 1 - 3 días laborales",https://almadelascosas.com/wp-content/uploads/2022/03/Agenda_Diaria_Negra.jpg,https://almadelascosas.com/producto/agenda-diaria-papeli-negra/,"Accesorios, Oficina, Papelería especial","Alma de las Cosas",74900COP,in stock,1152434812977_14639,,"https://almadelascosas.com/wp-content/uploads/2022/03/negra.png,https://almadelascosas.com/wp-content/uploads/2022/03/Adhesivo-meses.png,https://almadelascosas.com/wp-content/uploads/2022/03/Adhesivo-meses-agenda-papeli.png,https://almadelascosas.com/wp-content/uploads/2022/03/MG_1011.jpg,https://almadelascosas.com/wp-content/uploads/2022/03/MG_1019.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,74900COP,new,published,,,,,,,
